route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
A,ESP2_2,ESP2_A_2_3.A27,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_3.A28,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_3.A29,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_3.A30,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_3.A31,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_3.A32,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_3.A032,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_3.A033,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_3.A034,Santa Apolónia,0,ESP2_shp_azul_rb-sp
B,ESP2_2,ESP2_B_2_2.B1,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_2.B2,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_2.B3,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_2.B4,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_2.B5,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_2.B6,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_2.B7,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_2.B8,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_2.B9,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_2.B10,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_2.B11,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_2.B12,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_2.B13,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_2.B14,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_2.B15,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_2.B16,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_2.B17,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_2.B18,Odivelas,1,ESP2_shp_amarela_ra-od
